,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,10962,1756.0,13260.0,9.0,3069.0,936.0,0.0
2011,10963,1024.0,7114.0,41.0,232.0,2740.0,0.0
2011,10964,142.0,4742.0,0.0,40.0,92.0,0.0
2011,10965,1194.0,38900.0,305.0,4115.0,1025.0,0.0
2011,10968,64.0,5914.0,0.0,244.0,233.0,0.0
2011,10969,1140.0,2806.0,0.0,264.0,0.0,0.0
2011,10970,4338.0,19596.0,152.0,2012.0,4730.0,0.0
2011,10973,124.0,6363.0,0.0,492.0,0.0,0.0
2011,10974,462.0,8070.0,268.0,360.0,419.0,0.0
2011,10975,70.0,1330.0,0.0,0.0,0.0,0.0
2011,10976,418.0,5505.0,0.0,128.0,272.0,0.0
2011,10977,27896.0,75242.0,1255.0,11225.0,55222.0,0.0
2011,10979,0.0,576.0,0.0,0.0,0.0,0.0
2011,10980,2914.0,33669.0,78.0,1864.0,2218.0,0.0
2011,10983,1524.0,12969.0,12.0,3074.0,433.0,0.0
2011,10984,1358.0,8324.0,0.0,284.0,542.0,0.0
2011,10985,0.0,345.0,0.0,0.0,0.0,0.0
2011,10986,124.0,5797.0,0.0,40.0,138.0,0.0
2011,10987,102.0,8757.0,38.0,654.0,260.0,0.0
2011,10988,228.0,2480.0,0.0,0.0,79.0,0.0
2011,10989,2104.0,22742.0,45.0,5268.0,1980.0,0.0
2011,10990,3690.0,54763.0,557.0,1235.0,3100.0,0.0
2011,10992,3184.0,24740.0,102.0,602.0,2542.0,0.0
2011,10993,3616.0,7328.0,0.0,1012.0,2508.0,0.0
2011,10994,994.0,16853.0,0.0,3117.0,504.0,0.0
2011,10996,1914.0,18763.0,184.0,1462.0,1304.0,0.0
2011,10998,410.0,8508.0,0.0,12.0,520.0,0.0
2011,11001,5666.0,58388.0,790.0,15353.0,5266.0,0.0
2011,11003,18082.0,35970.0,1357.0,22107.0,56493.0,0.0
2011,11004,3408.0,19962.0,285.0,22152.0,1967.0,0.0
2011,11005,94.0,5278.0,0.0,0.0,66.0,0.0
2011,11010,5296.0,60452.0,95.0,5677.0,1857.0,0.0
2011,11020,1810.0,11353.0,12.0,4296.0,1415.0,0.0
2011,11021,2574.0,41561.0,32.0,9192.0,1572.0,0.0
2011,11023,760.0,24023.0,141.0,2520.0,105.0,0.0
2011,11024,1032.0,20857.0,94.0,980.0,953.0,0.0
2011,11030,2008.0,45475.0,18.0,8354.0,951.0,0.0
2011,11040,6602.0,75345.0,424.0,47407.0,2900.0,0.0
2011,11042,136.0,1033.0,0.0,0.0,454.0,0.0
2011,11050,9606.0,71737.0,54.0,10465.0,1611.0,0.0
2011,11096,7710.0,9234.0,220.0,1125.0,7060.0,0.0
