,rent,borough,zip,year
218,3000.0,staten_island,10306.0,2022
219,3200.0,staten_island,10312.0,2022
220,2700.0,staten_island,10314.0,2022
221,1525.0,staten_island,10314.0,2022
222,1600.0,staten_island,10301.0,2022
223,1550.0,staten_island,10312.0,2022
224,2450.0,staten_island,10305.0,2022
225,3300.0,staten_island,10314.0,2022
226,3000.0,staten_island,10303.0,2022
227,1600.0,staten_island,10314.0,2022
228,4500.0,brooklyn,11211.0,2022
229,3415.0,brooklyn,11235.0,2022
230,2595.0,brooklyn,11212.0,2022
231,4000.0,brooklyn,11211.0,2022
232,3176.0,brooklyn,11225.0,2022
233,2000.0,brooklyn,11210.0,2022
234,3500.0,brooklyn,11207.0,2022
235,900.0,brooklyn,11210.0,2022
236,4800.0,brooklyn,11207.0,2022
237,4511.0,brooklyn,11201.0,2022
238,2600.0,brooklyn,11236.0,2022
239,2850.0,brooklyn,11226.0,2022
240,2000.0,brooklyn,11226.0,2022
241,3100.0,brooklyn,11216.0,2022
242,3370.0,brooklyn,11249.0,2022
243,1900.0,brooklyn,11233.0,2022
244,2900.0,brooklyn,11233.0,2022
245,1225.0,brooklyn,11206.0,2022
246,1500.0,brooklyn,11213.0,2022
247,2350.0,brooklyn,11213.0,2022
248,3800.0,brooklyn,11223.0,2022
249,2875.0,brooklyn,,2022
250,3200.0,brooklyn,11212.0,2022
251,4000.0,brooklyn,11224.0,2022
252,2245.0,bronx,10463.0,2022
253,1581.0,bronx,10452.0,2022
254,3000.0,bronx,10458.0,2022
255,3126.0,queens,11102.0,2022
256,1795.0,queens,11363.0,2022
257,3372.0,new york,10025.0,2022
258,4565.0,new york,10025.0,2022
259,3365.0,new york,10065.0,2022
260,2433.0,staten_island,10304.0,2022
261,2475.0,staten_island,10305.0,2022
262,2040.0,queens,11435.0,2022
263,2700.0,queens,11692.0,2022
264,2265.0,queens,11433.0,2022
265,3470.0,brooklyn,11222.0,2022
266,3487.0,brooklyn,11222.0,2022
267,3112.0,queens,11101.0,2022
268,3100.0,brooklyn,11222.0,2022
269,1700.0,queens,11432.0,2022
270,4197.0,new york,10001.0,2022
271,2000.0,queens,11435.0,2022
272,3510.0,brooklyn,11222.0,2022
273,4260.0,queens,10038.0,2022
274,1850.0,queens,11373.0,2022
275,4035.0,new york,10069.0,2022
276,3834.0,new york,10022.0,2022
277,3036.0,queens,11109.0,2022
278,4851.0,new york,10011.0,2022
279,4400.0,new york,10038.0,2022
280,3510.0,new york,10019.0,2022
281,3280.0,new york,10001.0,2022
282,1700.0,queens,11355.0,2022
283,3365.0,new york,10010.0,2022
284,3535.0,queens,10016.0,2022
285,4200.0,new york,10022.0,2022
286,3666.0,queens,10018.0,2022
287,3292.0,brooklyn,11201.0,2022
288,3172.0,new york,10019.0,2022
289,3335.0,new york,10280.0,2022
290,4000.0,new york,10036.0,2022
291,4662.0,queens,10018.0,2022
292,1650.0,queens,11432.0,2022
293,3170.0,brooklyn,11217.0,2022
294,4260.0,queens,10038.0,2022
