zipcode,year,borough,rent,home_value,count
10457,2018,BRONX,1655.5916666666667,404723.3333333333,21
10457,2019,BRONX,1707.35,458172.4166666667,24
10457,2020,BRONX,1824.7416666666666,496782.0833333333,16
10457,2021,BRONX,1811.7916666666667,522452.5,56
10457,2022,BRONX,1950.83,543640.7,69
10458,2015,BRONX,1412.1899999999998,284365.8333333333,41
10458,2016,BRONX,1531.75,307498.6666666667,47
10458,2017,BRONX,1663.9083333333335,332939.75,27
10458,2018,BRONX,1741.6083333333333,353069.4166666667,23
10458,2019,BRONX,1782.5916666666667,400902.4166666667,15
10458,2020,BRONX,1867.7083333333333,378771.9166666667,26
10458,2021,BRONX,1945.2666666666669,457956.75,51
10458,2022,BRONX,2114.018181818182,487849.6,59
10460,2022,BRONX,2020.78,594086.1,44
10461,2015,BRONX,1320.46,409960.1666666667,49
10461,2016,BRONX,1388.975,419900.0,39
10461,2017,BRONX,1496.525,453681.8333333333,13
10461,2018,BRONX,1579.2916666666667,489976.8333333333,14
10461,2019,BRONX,1667.9166666666667,532643.8333333334,31
10461,2020,BRONX,1767.5166666666667,578386.0833333334,26
10461,2021,BRONX,1824.5500000000002,610815.9166666666,50
10461,2022,BRONX,1934.05,655278.1,58
10462,2015,BRONX,1372.0099999999998,124176.0,42
10462,2016,BRONX,1475.3416666666667,134210.25,42
10462,2017,BRONX,1564.3000000000002,143315.5,28
10462,2018,BRONX,1642.2083333333333,162510.5,28
10462,2019,BRONX,1721.125,184555.58333333334,48
10462,2020,BRONX,1766.3083333333334,202890.33333333334,25
10462,2021,BRONX,1811.8583333333333,199231.58333333334,51
10462,2022,BRONX,1954.77,200402.2,58
10463,2015,BRONX,2072.79,333158.6666666667,48
10463,2016,BRONX,2171.2833333333333,366111.25,48
10463,2017,BRONX,2250.5416666666665,373742.6666666667,48
10463,2018,BRONX,2308.025,357383.4166666667,105
10463,2019,BRONX,2340.675,403598.0833333333,79
10463,2020,BRONX,2378.5,434285.0833333333,51
10463,2021,BRONX,2379.1833333333334,430870.8333333333,59
10463,2022,BRONX,2524.1545454545453,434158.3,73
10465,2016,BRONX,1705.875,404541.0833333333,28
10465,2017,BRONX,1845.1000000000001,434136.0833333333,3
10465,2018,BRONX,1928.8583333333331,471863.25,6
10465,2019,BRONX,1979.9250000000002,511188.1666666667,22
10465,2020,BRONX,2125.133333333333,535341.5,13
10465,2021,BRONX,2136.7250000000004,574414.9166666666,36
10465,2022,BRONX,2330.01,613625.8,39
