year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2019,BROOKLYN,11210,149,12,12,2291.991666666667,772585.5833333334
2019,BROOKLYN,11211,6231,12,12,3335.4666666666667,1023273.75
2019,BROOKLYN,11213,440,12,12,2381.266666666667,970805.5833333334
2019,BROOKLYN,11214,21,12,12,1870.1416666666669,663974.4166666666
2019,BROOKLYN,11215,1087,12,12,2882.625,1442186.3333333333
2019,BROOKLYN,11216,938,12,12,2563.6833333333334,1111053.0833333333
2019,BROOKLYN,11217,1174,12,12,3173.7833333333333,1529402.1666666667
2019,BROOKLYN,11218,237,12,12,2319.075,959076.1666666666
2019,BROOKLYN,11220,269,12,12,2059.925,748739.3333333334
2019,BROOKLYN,11221,794,12,12,2595.075,1031257.3333333334
2019,BROOKLYN,11222,1024,12,12,3060.9750000000004,1041824.5833333334
2019,BROOKLYN,11223,108,12,12,1774.1416666666669,912277.8333333334
2019,BROOKLYN,11225,435,12,12,2405.491666666667,1258277.0
2019,BROOKLYN,11226,517,12,12,2252.766666666667,825612.5
2019,BROOKLYN,11228,21,12,12,1672.7833333333333,968549.75
2019,BROOKLYN,11229,55,12,12,2008.5333333333333,710380.8333333334
2019,BROOKLYN,11230,131,12,12,2105.241666666667,1055775.3333333333
2019,BROOKLYN,11231,214,12,12,3117.925,1436682.5
2019,BROOKLYN,11233,647,12,12,2394.0,763895.1666666666
2019,BROOKLYN,11235,123,12,12,2085.1000000000004,592481.4166666666
2019,BROOKLYN,11237,1426,12,12,2619.0416666666665,794939.5833333334
2019,BROOKLYN,11238,1126,12,12,3181.2833333333333,1269767.1666666667
2019,MANHATTAN,10001,275,12,12,4145.266666666666,2380720.4166666665
2019,MANHATTAN,10002,960,12,12,3227.8416666666667,943931.5833333334
2019,MANHATTAN,10003,1123,12,12,3475.691666666667,1490853.25
2019,MANHATTAN,10005,352,12,12,3777.983333333333,1110440.6666666667
2019,MANHATTAN,10009,1073,12,12,3342.991666666667,1107907.3333333333
2019,MANHATTAN,10010,623,12,12,3807.875,1722271.1666666667
2019,MANHATTAN,10011,934,12,12,3843.141666666667,1966323.0833333333
2019,MANHATTAN,10012,1154,12,12,3464.583333333333,2606977.5
2019,MANHATTAN,10013,1779,12,12,4923.258333333333,3310300.5
2019,MANHATTAN,10014,444,12,12,3771.3,2295021.6666666665
2019,MANHATTAN,10016,396,12,12,3682.5666666666666,1059822.5
2019,MANHATTAN,10017,681,12,12,3210.633333333333,981281.25
2019,MANHATTAN,10018,1094,12,12,3843.2083333333335,1388542.4166666667
2019,MANHATTAN,10019,564,12,12,3545.383333333333,1303237.3333333333
2019,MANHATTAN,10021,704,12,12,2812.8416666666667,1378502.4166666667
2019,MANHATTAN,10022,501,12,12,3353.025,1302252.8333333333
