zipcode,year,borough,home_value,count
10128,2021,MANHATTAN,1151165.0,
10128,2022,MANHATTAN,1236674.9,
10280,2015,MANHATTAN,898966.1666666666,
10280,2016,MANHATTAN,954916.5833333334,
10280,2017,MANHATTAN,989377.9166666666,
10280,2018,MANHATTAN,987590.5,
10280,2019,MANHATTAN,918778.8333333334,
10280,2020,MANHATTAN,883809.1666666666,
10280,2021,MANHATTAN,843551.25,
10280,2022,MANHATTAN,885593.6,
10282,2015,MANHATTAN,2312762.0,
10282,2016,MANHATTAN,2386422.9166666665,
10282,2017,MANHATTAN,2386658.8333333335,
10282,2018,MANHATTAN,2399849.0833333335,
10282,2019,MANHATTAN,2291999.0833333335,
10282,2020,MANHATTAN,2185345.3333333335,
10282,2021,MANHATTAN,2190434.25,
10282,2022,MANHATTAN,2407798.3,
