zipcode,year,borough,home_value,count
11217,2018,BROOKLYN,1515536.5833333333,
11217,2019,BROOKLYN,1529402.1666666667,
11217,2020,BROOKLYN,1461386.0833333333,
11217,2021,BROOKLYN,1432988.25,
11217,2022,BROOKLYN,1531767.1,
11218,2015,BROOKLYN,723225.75,
11218,2016,BROOKLYN,786441.0,
11218,2017,BROOKLYN,854812.1666666666,
11218,2018,BROOKLYN,904973.5833333334,
11218,2019,BROOKLYN,959076.1666666666,
11218,2020,BROOKLYN,932258.9166666666,
11218,2021,BROOKLYN,953143.4166666666,
11218,2022,BROOKLYN,996101.6,
11219,2015,BROOKLYN,659985.75,
11219,2016,BROOKLYN,713282.8333333334,
11219,2017,BROOKLYN,781814.5833333334,
11219,2018,BROOKLYN,831962.5833333334,
11219,2019,BROOKLYN,840493.9166666666,
11219,2020,BROOKLYN,800441.25,
11219,2021,BROOKLYN,850656.5833333334,
11219,2022,BROOKLYN,907365.6,
11220,2015,BROOKLYN,595905.3333333334,
11220,2016,BROOKLYN,654008.9166666666,
11220,2017,BROOKLYN,711517.0,
11220,2018,BROOKLYN,737359.3333333334,
11220,2019,BROOKLYN,748739.3333333334,
11220,2020,BROOKLYN,746375.5,
11220,2021,BROOKLYN,741358.25,
11220,2022,BROOKLYN,774680.8,
11221,2015,BROOKLYN,819887.5,
11221,2016,BROOKLYN,909883.25,
11221,2017,BROOKLYN,956862.3333333334,
11221,2018,BROOKLYN,1027401.0833333334,
11221,2019,BROOKLYN,1031257.3333333334,
11221,2020,BROOKLYN,1040120.6666666666,
11221,2021,BROOKLYN,1071570.75,
11221,2022,BROOKLYN,1184248.8,
11222,2015,BROOKLYN,971202.5,
11222,2016,BROOKLYN,1011781.0,
11222,2017,BROOKLYN,1020965.5,
11222,2018,BROOKLYN,1035642.5,
11222,2019,BROOKLYN,1041824.5833333334,
11222,2020,BROOKLYN,1044151.75,
11222,2021,BROOKLYN,1068180.4166666667,
11222,2022,BROOKLYN,1145620.1,
11223,2015,BROOKLYN,722070.75,
11223,2016,BROOKLYN,777270.3333333334,
11223,2017,BROOKLYN,837217.3333333334,
11223,2018,BROOKLYN,889891.1666666666,
11223,2019,BROOKLYN,912277.8333333334,
11223,2020,BROOKLYN,917003.6666666666,
11223,2021,BROOKLYN,967155.3333333334,
11223,2022,BROOKLYN,1010828.9,
