geo_id,year,borough,zipcode,total_housing_units,occupied_housing_units,owner_occupied_units,own_occ_median_value,renter_occupied_units,rent_occ_median_rent,vacant_housing_units,occ_units_paying_rent,homeowner_vacancy_rate,rental_vacancy_rate,median_rooms,no_bedrooms,1_bedroom,2_bedrooms,3_bedrooms,4_bedrooms,5_or_more_bedrooms,avg_household_size_own_occ_unit,avg_household_size_rent_occ_unit
8600000US11425,2011,Queens,11425,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10001,2011,Manhattan,10001,12161.0,10473.0,2726.0,632400.0,7747.0,1580.0,1688.0,7647.0,0.6,4.3,3.0,2569.0,5599.0,2755.0,1002.0,109.0,127.0,1.80,1.89
8600000US10002,2011,Manhattan,10002,35286.0,32573.0,4274.0,572000.0,28299.0,770.0,2713.0,27977.0,0.6,3.3,3.3,3427.0,14182.0,12880.0,4037.0,671.0,89.0,2.37,2.47
8600000US10003,2011,Manhattan,10003,31308.0,27326.0,8774.0,802300.0,18552.0,1747.0,3982.0,18127.0,0.6,1.5,3.0,7604.0,13935.0,7344.0,1916.0,412.0,97.0,1.66,1.73
8600000US10004,2011,Manhattan,10004,1813.0,1453.0,447.0,886800.0,1006.0,2000.0,360.0,958.0,10.9,5.3,2.7,775.0,576.0,327.0,107.0,28.0,0.0,2.26,1.52
8600000US10005,2011,Manhattan,10005,3590.0,2772.0,453.0,1000000.0,2319.0,2000.0,818.0,2305.0,30.7,15.5,2.7,1235.0,1160.0,960.0,209.0,15.0,11.0,2.18,1.69
8600000US10006,2011,Manhattan,10006,2026.0,1597.0,141.0,799600.0,1456.0,2000.0,429.0,1413.0,0.0,15.2,2.3,859.0,815.0,295.0,57.0,0.0,0.0,1.69,1.67
8600000US10007,2011,Manhattan,10007,2578.0,2266.0,717.0,1000000.0,1549.0,2000.0,312.0,1542.0,7.8,3.7,3.3,328.0,1103.0,802.0,261.0,53.0,31.0,2.50,2.09
8600000US10009,2011,Manhattan,10009,31544.0,29713.0,2568.0,641000.0,27145.0,1322.0,1831.0,26860.0,0.0,2.3,3.5,3843.0,11973.0,11318.0,4080.0,210.0,120.0,1.98,2.08
8600000US10010,2011,Manhattan,10010,18210.0,15481.0,3938.0,732600.0,11543.0,1946.0,2729.0,11387.0,0.5,2.5,3.0,3808.0,8574.0,4838.0,870.0,105.0,15.0,1.67,1.76
8600000US10011,2011,Manhattan,10011,33085.0,29274.0,9637.0,890500.0,19637.0,1754.0,3811.0,19068.0,0.5,3.7,3.0,7584.0,15735.0,6962.0,2124.0,399.0,281.0,1.78,1.62
8600000US10012,2011,Manhattan,10012,14996.0,12932.0,2419.0,1000000.0,10513.0,1710.0,2064.0,10303.0,2.6,3.6,3.1,2484.0,6796.0,4279.0,1180.0,149.0,108.0,1.93,1.77
8600000US10013,2011,Manhattan,10013,12994.0,10747.0,2720.0,1000000.0,8027.0,1165.0,2247.0,7887.0,3.9,4.1,3.3,1346.0,5449.0,4724.0,1084.0,240.0,151.0,2.37,2.10
