zip_code,state,city,borough,date,home_value
11211,NY,New York,BROOKLYN,2018-02-28,991979.0
11372,NY,New York,QUEENS,2018-02-28,433285.0
10312,NY,New York,STATEN_ISLAND,2018-02-28,549695.0
11201,NY,New York,BROOKLYN,2018-02-28,1242417.0
10032,NY,New York,MANHATTAN,2018-02-28,494783.0
10023,NY,New York,MANHATTAN,2018-02-28,1461858.0
11434,NY,New York,QUEENS,2018-02-28,490333.0
11432,NY,New York,QUEENS,2018-02-28,790544.0
10128,NY,New York,MANHATTAN,2018-02-28,1078448.0
11238,NY,New York,BROOKLYN,2018-02-28,1234064.0
10473,NY,New York,BRONX,2018-02-28,377906.0
11216,NY,New York,BROOKLYN,2018-02-28,1077591.0
10009,NY,New York,MANHATTAN,2018-02-28,1166661.0
11435,NY,New York,QUEENS,2018-02-28,506868.0
10024,NY,New York,MANHATTAN,2018-02-28,1719455.0
11225,NY,New York,BROOKLYN,2018-02-28,1202192.0
10033,NY,New York,MANHATTAN,2018-02-28,634981.0
10460,NY,New York,BRONX,2018-02-28,414566.0
10031,NY,New York,MANHATTAN,2018-02-28,739952.0
11354,NY,New York,QUEENS,2018-02-28,634192.0
10003,NY,New York,MANHATTAN,2018-02-28,1371812.0
10306,NY,New York,STATEN_ISLAND,2018-02-28,555375.0
10016,NY,New York,MANHATTAN,2018-02-28,1092713.0
10451,NY,New York,BRONX,2018-02-28,251863.0
10011,NY,New York,MANHATTAN,2018-02-28,2026749.0
11420,NY,New York,QUEENS,2018-02-28,523763.0
10459,NY,New York,BRONX,2018-02-28,358398.0
10461,NY,New York,BRONX,2018-02-28,467466.0
11419,NY,New York,QUEENS,2018-02-28,535205.0
11237,NY,New York,BROOKLYN,2018-02-28,788686.0
10028,NY,New York,MANHATTAN,2018-02-28,1640700.0
11228,NY,New York,BROOKLYN,2018-02-28,940247.0
11205,NY,New York,BROOKLYN,2018-02-28,841234.0
10040,NY,New York,MANHATTAN,2018-02-28,578111.0
11413,NY,New York,QUEENS,2018-02-28,487351.0
10305,NY,New York,STATEN_ISLAND,2018-02-28,530087.0
11224,NY,New York,BROOKLYN,2018-02-28,605509.0
11365,NY,New York,QUEENS,2018-02-28,812605.0
11374,NY,New York,QUEENS,2018-02-28,569699.0
10465,NY,New York,BRONX,2018-02-28,456555.0
10019,NY,New York,MANHATTAN,2018-02-28,1369147.0
10455,NY,New York,BRONX,2018-02-28,324498.0
10475,NY,New York,BRONX,2018-02-28,431491.0
10034,NY,New York,MANHATTAN,2018-02-28,440226.0
11367,NY,New York,QUEENS,2018-02-28,716165.0
10304,NY,New York,STATEN_ISLAND,2018-02-28,526952.0
11421,NY,New York,QUEENS,2018-02-28,564762.0
10021,NY,New York,MANHATTAN,2018-02-28,1494357.0
11217,NY,New York,BROOKLYN,2018-02-28,1538219.0
11357,NY,New York,QUEENS,2018-02-28,875019.0
11101,NY,New York,QUEENS,2018-02-28,794268.0
10026,NY,New York,MANHATTAN,2018-02-28,1015146.0
11418,NY,New York,QUEENS,2018-02-28,577265.0
10301,NY,New York,STATEN_ISLAND,2018-02-28,561765.0
10454,NY,New York,BRONX,2018-02-28,430939.0
11222,NY,New York,BROOKLYN,2018-02-28,1035800.0
11412,NY,New York,QUEENS,2018-02-28,492849.0
11231,NY,New York,BROOKLYN,2018-02-28,1447617.0
11106,NY,New York,QUEENS,2018-02-28,601998.0
11249,NY,New York,BROOKLYN,2018-02-28,1254755.0
11379,NY,New York,QUEENS,2018-02-28,738160.0
11378,NY,New York,QUEENS,2018-02-28,709402.0
11358,NY,New York,QUEENS,2018-02-28,897152.0
11105,NY,New York,QUEENS,2018-02-28,980358.0
10010,NY,New York,MANHATTAN,2018-02-28,1682788.0
11433,NY,New York,QUEENS,2018-02-28,484990.0
11364,NY,New York,QUEENS,2018-02-28,817585.0
10035,NY,New York,MANHATTAN,2018-02-28,922328.0
10309,NY,New York,STATEN_ISLAND,2018-02-28,582674.0
11103,NY,New York,QUEENS,2018-02-28,852337.0
10022,NY,New York,MANHATTAN,2018-02-28,1283076.0
10014,NY,New York,MANHATTAN,2018-02-28,2433266.0
11369,NY,New York,QUEENS,2018-02-28,672621.0
10030,NY,New York,MANHATTAN,2018-02-28,878024.0
10039,NY,New York,MANHATTAN,2018-02-28,844518.0
11102,NY,New York,QUEENS,2018-02-28,640237.0
11422,NY,New York,QUEENS,2018-02-28,493989.0
11417,NY,New York,QUEENS,2018-02-28,538974.0
10308,NY,New York,STATEN_ISLAND,2018-02-28,538787.0
11423,NY,New York,QUEENS,2018-02-28,571019.0
10065,NY,New York,MANHATTAN,2018-02-28,1485465.0
10303,NY,New York,STATEN_ISLAND,2018-02-28,373808.0
11361,NY,New York,QUEENS,2018-02-28,846761.0
10013,NY,New York,MANHATTAN,2018-02-28,3413750.0
11416,NY,New York,QUEENS,2018-02-28,566772.0
11414,NY,New York,QUEENS,2018-02-28,600710.0
11429,NY,New York,QUEENS,2018-02-28,507869.0
11232,NY,New York,BROOKLYN,2018-02-28,745679.0
10036,NY,New York,MANHATTAN,2018-02-28,1184980.0
10075,NY,New York,MANHATTAN,2018-02-28,1123993.0
10001,NY,New York,MANHATTAN,2018-02-28,2249798.0
11104,NY,New York,QUEENS,2018-02-28,495611.0
11370,NY,New York,QUEENS,2018-02-28,645807.0
11356,NY,New York,QUEENS,2018-02-28,710442.0
11427,NY,New York,QUEENS,2018-02-28,599714.0
10038,NY,New York,MANHATTAN,2018-02-28,1286729.0
10471,NY,New York,BRONX,2018-02-28,633463.0
10310,NY,New York,STATEN_ISLAND,2018-02-28,510377.0
11692,NY,New York,QUEENS,2018-02-28,365921.0
10012,NY,New York,MANHATTAN,2018-02-28,2284043.0
11426,NY,New York,QUEENS,2018-02-28,592729.0
11694,NY,New York,QUEENS,2018-02-28,743915.0
11411,NY,New York,QUEENS,2018-02-28,482117.0
11428,NY,New York,QUEENS,2018-02-28,543602.0
11436,NY,New York,QUEENS,2018-02-28,469076.0
11360,NY,New York,QUEENS,2018-02-28,652877.0
11362,NY,New York,QUEENS,2018-02-28,862469.0
10302,NY,New York,STATEN_ISLAND,2018-02-28,448107.0
11415,NY,New York,QUEENS,2018-02-28,457306.0
10470,NY,New York,BRONX,2018-02-28,459975.0
10017,NY,New York,MANHATTAN,2018-02-28,934867.0
11239,NY,New York,BROOKLYN,2018-02-28,432935.0
11366,NY,New York,QUEENS,2018-02-28,881978.0
11004,NY,New York,QUEENS,2018-02-28,606543.0
10307,NY,New York,STATEN_ISLAND,2018-02-28,618388.0
10044,NY,New York,MANHATTAN,2018-02-28,1045958.0
11693,NY,New York,QUEENS,2018-02-28,435871.0
10018,NY,New York,MANHATTAN,2018-02-28,1475993.0
10007,NY,New York,MANHATTAN,2018-02-28,2993621.0
10280,NY,New York,MANHATTAN,2018-02-28,1003244.0
11363,NY,New York,QUEENS,2018-02-28,1027562.0
10005,NY,New York,MANHATTAN,2018-02-28,1202436.0
10282,NY,New York,MANHATTAN,2018-02-28,2408492.0
10069,NY,New York,MANHATTAN,2018-02-28,2142617.0
10464,NY,New York,BRONX,2018-02-28,506290.0
10004,NY,New York,MANHATTAN,2018-02-28,1241514.0
10006,NY,New York,MANHATTAN,2018-02-28,1002568.0
11243,NY,New York,BROOKLYN,2018-02-28,1403129.0
10118,NY,New York,MANHATTAN,2018-02-28,3299250.0
11368,NY,New York,QUEENS,2018-03-31,543610.0
11385,NY,New York,QUEENS,2018-03-31,684636.0
11236,NY,New York,BROOKLYN,2018-03-31,503312.0
11208,NY,New York,BROOKLYN,2018-03-31,511631.0
10467,NY,New York,BRONX,2018-03-31,355270.0
11226,NY,New York,BROOKLYN,2018-03-31,774621.0
11373,NY,New York,QUEENS,2018-03-31,556550.0
11234,NY,New York,BROOKLYN,2018-03-31,611272.0
11220,NY,New York,BROOKLYN,2018-03-31,737609.0
11207,NY,New York,BROOKLYN,2018-03-31,433327.0
11214,NY,New York,BROOKLYN,2018-03-31,636083.0
10025,NY,New York,MANHATTAN,2018-03-31,1019300.0
10456,NY,New York,BRONX,2018-03-31,350540.0
10314,NY,New York,STATEN_ISLAND,2018-03-31,531229.0
11219,NY,New York,BROOKLYN,2018-03-31,831740.0
11221,NY,New York,BROOKLYN,2018-03-31,1011290.0
10458,NY,New York,BRONX,2018-03-31,340690.0
11235,NY,New York,BROOKLYN,2018-03-31,569464.0
11223,NY,New York,BROOKLYN,2018-03-31,879055.0
11377,NY,New York,QUEENS,2018-03-31,769057.0
11206,NY,New York,BROOKLYN,2018-03-31,944864.0
10453,NY,New York,BRONX,2018-03-31,432884.0
11229,NY,New York,BROOKLYN,2018-03-31,665917.0
11355,NY,New York,QUEENS,2018-03-31,656113.0
11204,NY,New York,BROOKLYN,2018-03-31,895038.0
11230,NY,New York,BROOKLYN,2018-03-31,979488.0
11233,NY,New York,BROOKLYN,2018-03-31,742026.0
10468,NY,New York,BRONX,2018-03-31,253056.0
10457,NY,New York,BRONX,2018-03-31,398876.0
10452,NY,New York,BRONX,2018-03-31,425391.0
10462,NY,New York,BRONX,2018-03-31,156899.0
10029,NY,New York,MANHATTAN,2018-03-31,924800.0
11218,NY,New York,BROOKLYN,2018-03-31,902714.0
10469,NY,New York,BRONX,2018-03-31,452227.0
10466,NY,New York,BRONX,2018-03-31,433755.0
11203,NY,New York,BROOKLYN,2018-03-31,530355.0
11212,NY,New York,BROOKLYN,2018-03-31,441041.0
10002,NY,New York,MANHATTAN,2018-03-31,829988.0
11375,NY,New York,QUEENS,2018-03-31,798527.0
10463,NY,New York,BRONX,2018-03-31,344071.0
11215,NY,New York,BROOKLYN,2018-03-31,1425243.0
10472,NY,New York,BRONX,2018-03-31,427108.0
11691,NY,New York,QUEENS,2018-03-31,488818.0
11213,NY,New York,BROOKLYN,2018-03-31,964276.0
11210,NY,New York,BROOKLYN,2018-03-31,749268.0
11209,NY,New York,BROOKLYN,2018-03-31,887004.0
10027,NY,New York,MANHATTAN,2018-03-31,973810.0
11211,NY,New York,BROOKLYN,2018-03-31,993344.0
11372,NY,New York,QUEENS,2018-03-31,440305.0
10312,NY,New York,STATEN_ISLAND,2018-03-31,556361.0
11201,NY,New York,BROOKLYN,2018-03-31,1247699.0
10032,NY,New York,MANHATTAN,2018-03-31,502687.0
10023,NY,New York,MANHATTAN,2018-03-31,1482111.0
11434,NY,New York,QUEENS,2018-03-31,494352.0
11432,NY,New York,QUEENS,2018-03-31,793149.0
10128,NY,New York,MANHATTAN,2018-03-31,1097742.0
11238,NY,New York,BROOKLYN,2018-03-31,1232087.0
10473,NY,New York,BRONX,2018-03-31,380807.0
11216,NY,New York,BROOKLYN,2018-03-31,1088608.0
10009,NY,New York,MANHATTAN,2018-03-31,1148355.0
11435,NY,New York,QUEENS,2018-03-31,511778.0
10024,NY,New York,MANHATTAN,2018-03-31,1756168.0
11225,NY,New York,BROOKLYN,2018-03-31,1201047.0
10033,NY,New York,MANHATTAN,2018-03-31,649063.0
10460,NY,New York,BRONX,2018-03-31,411553.0
10031,NY,New York,MANHATTAN,2018-03-31,758198.0
11354,NY,New York,QUEENS,2018-03-31,640594.0
10003,NY,New York,MANHATTAN,2018-03-31,1399186.0
10306,NY,New York,STATEN_ISLAND,2018-03-31,562512.0
10016,NY,New York,MANHATTAN,2018-03-31,1096900.0
10451,NY,New York,BRONX,2018-03-31,252012.0
10011,NY,New York,MANHATTAN,2018-03-31,2036092.0
11420,NY,New York,QUEENS,2018-03-31,526575.0
10459,NY,New York,BRONX,2018-03-31,363713.0
10461,NY,New York,BRONX,2018-03-31,475844.0
11419,NY,New York,QUEENS,2018-03-31,538929.0
11237,NY,New York,BROOKLYN,2018-03-31,786339.0
10028,NY,New York,MANHATTAN,2018-03-31,1642964.0
11228,NY,New York,BROOKLYN,2018-03-31,937982.0
11205,NY,New York,BROOKLYN,2018-03-31,839406.0
10040,NY,New York,MANHATTAN,2018-03-31,568593.0
11413,NY,New York,QUEENS,2018-03-31,489294.0
10305,NY,New York,STATEN_ISLAND,2018-03-31,538348.0
11224,NY,New York,BROOKLYN,2018-03-31,600854.0
11365,NY,New York,QUEENS,2018-03-31,817913.0
11374,NY,New York,QUEENS,2018-03-31,569792.0
10465,NY,New York,BRONX,2018-03-31,461106.0
10019,NY,New York,MANHATTAN,2018-03-31,1377161.0
10455,NY,New York,BRONX,2018-03-31,331165.0
10475,NY,New York,BRONX,2018-03-31,432951.0
10034,NY,New York,MANHATTAN,2018-03-31,437989.0
11367,NY,New York,QUEENS,2018-03-31,721911.0
10304,NY,New York,STATEN_ISLAND,2018-03-31,534474.0
11421,NY,New York,QUEENS,2018-03-31,573202.0
10021,NY,New York,MANHATTAN,2018-03-31,1497927.0
11217,NY,New York,BROOKLYN,2018-03-31,1529486.0
11357,NY,New York,QUEENS,2018-03-31,883537.0
11101,NY,New York,QUEENS,2018-03-31,797772.0
10026,NY,New York,MANHATTAN,2018-03-31,1015895.0
11418,NY,New York,QUEENS,2018-03-31,584831.0
10301,NY,New York,STATEN_ISLAND,2018-03-31,569067.0
10454,NY,New York,BRONX,2018-03-31,426736.0
11222,NY,New York,BROOKLYN,2018-03-31,1037965.0
11412,NY,New York,QUEENS,2018-03-31,495667.0
11231,NY,New York,BROOKLYN,2018-03-31,1445389.0
11106,NY,New York,QUEENS,2018-03-31,605789.0
11249,NY,New York,BROOKLYN,2018-03-31,1255367.0
11379,NY,New York,QUEENS,2018-03-31,739847.0
11378,NY,New York,QUEENS,2018-03-31,714645.0
11358,NY,New York,QUEENS,2018-03-31,903716.0
11105,NY,New York,QUEENS,2018-03-31,982290.0
10010,NY,New York,MANHATTAN,2018-03-31,1687025.0
11433,NY,New York,QUEENS,2018-03-31,487931.0
11364,NY,New York,QUEENS,2018-03-31,822893.0
10035,NY,New York,MANHATTAN,2018-03-31,928315.0
10309,NY,New York,STATEN_ISLAND,2018-03-31,588552.0
11103,NY,New York,QUEENS,2018-03-31,857717.0
10022,NY,New York,MANHATTAN,2018-03-31,1296180.0
10014,NY,New York,MANHATTAN,2018-03-31,2432586.0
11369,NY,New York,QUEENS,2018-03-31,680653.0
10030,NY,New York,MANHATTAN,2018-03-31,880770.0
10039,NY,New York,MANHATTAN,2018-03-31,862953.0
11102,NY,New York,QUEENS,2018-03-31,643775.0
11422,NY,New York,QUEENS,2018-03-31,496758.0
11417,NY,New York,QUEENS,2018-03-31,543576.0
10308,NY,New York,STATEN_ISLAND,2018-03-31,546683.0
11423,NY,New York,QUEENS,2018-03-31,575156.0
10065,NY,New York,MANHATTAN,2018-03-31,1497260.0
10303,NY,New York,STATEN_ISLAND,2018-03-31,378595.0
11361,NY,New York,QUEENS,2018-03-31,852570.0
10013,NY,New York,MANHATTAN,2018-03-31,3405742.0
11416,NY,New York,QUEENS,2018-03-31,571153.0
11414,NY,New York,QUEENS,2018-03-31,604336.0
11429,NY,New York,QUEENS,2018-03-31,508043.0
11232,NY,New York,BROOKLYN,2018-03-31,741423.0
10036,NY,New York,MANHATTAN,2018-03-31,1182973.0
10075,NY,New York,MANHATTAN,2018-03-31,1132235.0
10001,NY,New York,MANHATTAN,2018-03-31,2225075.0
11104,NY,New York,QUEENS,2018-03-31,494728.0
11370,NY,New York,QUEENS,2018-03-31,650059.0
11356,NY,New York,QUEENS,2018-03-31,717390.0
11427,NY,New York,QUEENS,2018-03-31,604062.0
